name,Total_Reviews,Positive_Reviews,Average_Playtime_Minutes,Average_Price,Average_Review_Length,Negative_Reviews,Positive_Percentage
Stardew Valley,1000,981,12605,14.99,33,19,98.1
The Henry Stickmin Collection,1000,980,1003,14.99,29,20,98.0
Portal 2,1000,979,2803,9.99,31,21,97.9
Portal,1000,978,949,9.99,38,22,97.8
Plants vs. Zombies GOTY Edition,1000,978,3073,4.99,33,22,97.8
Factorio,1000,977,30187,35.0,37,23,97.7
ULTRAKILL,1000,974,4366,24.99,24,26,97.4
People Playground,1000,974,9018,9.99,22,26,97.4
Civilization IV: Beyond the Sword,38,37,52652,9.99,42,1,97.37
Aseprite,1000,972,33437,19.99,29,28,97.2
Slime Rancher,1000,972,2659,19.99,38,28,97.2
Katana ZERO,1000,971,767,14.99,44,29,97.1
Satisfactory,1000,970,14790,39.99,43,30,97.0
Half-Life 2,1000,969,2418,9.99,41,31,96.9
Hades,1000,968,4143,24.99,54,32,96.8
POSTAL 2,1000,967,1453,9.99,33,33,96.7
The Walking Dead,1000,967,1245,14.99,47,33,96.7
Garry's Mod,1000,967,18164,9.99,22,33,96.7
STAR WARS Empire at War - Gold Pack,1000,966,15358,19.99,33,34,96.6
Duck Game,1000,965,5684,12.99,33,35,96.5
