name,Total_Reviews,Positive_Reviews,Average_Playtime_Minutes,Average_Price,Average_Review_Length,Negative_Reviews,Positive_Percentage
Borderlands: The Pre-Sequel,1000,231,2721,39.99,74,769,23.1
BattleBit Remastered,1000,255,5646,14.99,42,745,25.5
Squad,1000,300,31013,49.99,61,700,30.0
Wolfenstein: Youngblood,1000,347,1486,19.99,90,653,34.7
Borderlands Game of the Year,1000,375,3882,29.99,69,625,37.5
Creativerse,1000,376,11174,24.99,63,624,37.6
Battlefield 2042,1000,377,3888,59.99,51,623,37.7
EA SPORTS FC 25,1000,385,11860,69.99,36,615,38.5
Call of Duty: Modern Warfare II,1000,388,14372,69.99,40,612,38.8
ATLAS,1000,428,43784,29.99,63,572,42.8
Cities: Skylines II,1000,439,9369,49.99,66,561,43.9
Monster Hunter Wilds,1000,441,7250,69.99,78,559,44.1
Magicka,1000,446,1584,9.99,40,554,44.6
Hero Siege,1000,450,12359,7.99,71,550,45.0
TEKKEN 8,1000,457,15234,59.99,62,543,45.7
EA SPORTS FC 24,1000,464,11013,69.99,33,536,46.4
Tiny Tina's Wonderlands,1000,469,2553,59.99,71,531,46.9
Wolcen: Lords of Mayhem,1000,484,3179,29.99,88,516,48.4
Capcom Arcade Stadium,1000,485,854,59.99,71,515,48.5
ARK: Survival Evolved,1000,489,31048,14.99,47,511,48.9
