name,Total_Reviews
Call of Duty: Modern Warfare 3 (2011),2000
Call of Duty: Modern Warfare 2 (2009),2000
Call of Duty: Black Ops,2000
Call of Duty: Black Ops II,2000
Total War: SHOGUN 2,2000
Counter-Strike: Condition Zero,1941
Call of Duty: Ghosts,1538
Medal of Honor,1028
A Dance of Fire and Ice,1000
A Plague Tale: Innocence,1000
A Story About My Uncle,1000
A Way Out,1000
ACE COMBAT 7: SKIES UNKNOWN,1000
AMID EVIL,1000
ARK: Survival Ascended,1000
ARK: Survival Evolved,1000
ARK: Survival Of The Fittest,1000
ARMA: Cold War Assault,1000
Age of Empires IV: Anniversary Edition,1000
Age of History II,1000
